date,sku_id,actual_qty
2025-06-09,SKU-00055,1
2025-06-09,SKU-00094,1
2025-06-09,SKU-00129,1
2025-06-09,SKU-00172,1
2025-06-09,SKU-00208,1
2025-06-09,SKU-00248,20
2025-06-09,SKU-00279,1
2025-06-09,SKU-00299,1
2025-06-09,SKU-00341,4
2025-06-09,SKU-00345,56
2025-06-09,SKU-00350,1
2025-06-09,SKU-00353,4
2025-06-09,SKU-00367,1
2025-06-09,SKU-00375,3
2025-06-09,SKU-00463,1
2025-06-09,SKU-00486,1
2025-06-09,SKU-00502,1
2025-06-09,SKU-00541,1
2025-06-09,SKU-00579,1
2025-06-09,SKU-00591,31
2025-06-09,SKU-00622,-1
2025-06-09,SKU-00624,1
2025-06-09,SKU-00638,1
2025-06-09,SKU-00668,2
2025-06-09,SKU-00674,4
2025-06-09,SKU-00698,2
2025-06-09,SKU-00699,4
2025-06-09,SKU-00701,2
2025-06-09,SKU-00702,2
2025-06-09,SKU-00703,4
2025-06-09,SKU-00704,2
2025-06-09,SKU-00724,2
2025-06-09,SKU-00816,2
2025-06-09,SKU-00853,1
2025-06-09,SKU-00870,1
2025-06-09,SKU-00912,2
2025-06-09,SKU-00967,6
2025-06-09,SKU-00984,8
2025-06-09,SKU-00995,1
2025-06-09,SKU-00998,95
2025-06-09,SKU-01021,2
2025-06-09,SKU-01041,10
2025-06-09,SKU-01052,34
2025-06-09,SKU-01060,1
2025-06-09,SKU-01330,1
2025-06-09,SKU-01345,1
2025-06-09,SKU-01400,1
2025-06-09,SKU-01535,1
2025-06-09,SKU-01650,3
2025-06-09,SKU-01691,1
2025-06-09,SKU-01716,1
2025-06-09,SKU-01801,1
2025-06-09,SKU-01829,1
2025-06-09,SKU-01865,1
2025-06-09,SKU-01898,1
2025-06-09,SKU-02022,4
2025-06-09,SKU-02046,4
2025-06-09,SKU-02138,1
2025-06-09,SKU-02173,1
2025-06-09,SKU-02217,1
2025-06-09,SKU-02244,0
2025-06-09,SKU-02250,1
2025-06-09,SKU-02282,1
2025-06-09,SKU-02302,1
2025-06-09,SKU-02339,1
2025-06-09,SKU-02374,1
2025-06-09,SKU-02399,1
2025-06-09,SKU-02481,3
2025-06-09,SKU-02495,3
2025-06-09,SKU-02499,2
2025-06-09,SKU-02506,1
2025-06-09,SKU-02512,1
2025-06-09,SKU-02675,1
2025-06-09,SKU-02676,1
2025-06-09,SKU-02717,2
2025-06-09,SKU-02733,1
2025-06-09,SKU-02770,6
2025-06-09,SKU-02806,1
2025-06-09,SKU-02819,7
2025-06-09,SKU-02843,1
2025-06-09,SKU-02895,1
2025-06-09,SKU-02937,1
