sku_id,forecast_28d_qty,forecast_daily_avg,forecast_peak_day_qty,unit_price_proxy,unit_cost_proxy,unit_profit_proxy,last_28d_qty,avg_daily_28d_qty,avg_daily_56d_qty,train_profit_proxy,forecast_28d_revenue,forecast_28d_profit,demand_change_pct,current_stock_assumed,lead_time_days,safety_stock_days,reorder_point,suggested_order_qty,stockout_risk_score,overstock_risk_score,revenue_at_risk_proxy,profit_at_risk_proxy,risk_type,risk_score,recommended_action
SKU-00003,395.6633626688272,14.130834381029542,19.08968162536621,1527268.5037037036,0.0,1527268.5037037036,356.0,12.714285714285714,11.214285714285714,16700681088.0,604284191.8735955,604284191.8735955,11.141394008097521,169.57,7,7,197.83,423.92,14.3,0.0,43160608.0,43160608.0,Healthy,0.0,Monitor
SKU-00002,119.25173225486651,4.258990437673804,6.621808052062988,1359464.9489311164,0.0,1359464.9489311164,98.0,3.5,5.785714285714286,8012686409.0,162118550.09980926,162118550.09980926,21.685441076394397,62.49,7,7,59.63,116.39,0.0,0.0,0.0,0.0,Healthy,0.0,Monitor
SKU-14323,472.52852391824126,16.87601871136576,21.4206485748291,236238.77258978167,183846.00460265082,52392.76798713085,612.0,21.857142857142858,23.696428571428573,937104039.81,111629558.50410661,24757077.320949826,-22.78945687610437,227.49,7,7,236.26,481.3,3.7,0.0,2071814.0,459485.0,Healthy,0.0,Monitor
SKU-14320,385.31528862193227,13.761260307926152,17.43655776977539,221201.59518502007,163853.21418062542,57348.38100439464,431.0,15.392857142857142,17.017857142857142,887401195.74,85232356.49234784,22097207.97870886,-10.599701015792977,245.06,7,7,192.66,332.92,0.0,0.0,0.0,0.0,Healthy,0.0,Monitor
SKU-00345,120.38360254187137,4.299414376495406,5.44846248626709,1262084.0676751593,1085810.5147213375,176273.55295382184,97.0,3.4642857142857144,6.053571428571429,210664296.0,151934226.77743468,21220445.337436404,24.106806744197286,65.38,7,7,60.19,115.19,0.0,0.0,0.0,0.0,Healthy,0.0,Monitor
SKU-06696,64.7329709592741,2.311891819974075,2.9313342571258545,1184307.5732970028,923003.1367847412,261304.43651226163,57.0,2.0357142857142856,1.9642857142857142,470316485.0,76663747.74908327,16915012.500277713,13.566615718024732,30.52,7,7,32.37,66.58,5.7,0.0,2190969.0,483413.0,Healthy,0.0,Monitor
SKU-14741,181.84638763125986,6.494513843973566,8.239500999450684,214288.58396188964,146392.75539698295,67895.8285649067,152.0,5.428571428571429,4.535714285714286,336353291.31,38967604.90408756,12346611.159759589,19.63578133635517,101.31,7,7,90.92,171.46,0.0,0.0,0.0,0.0,Healthy,0.0,Monitor
SKU-03351,374.15948573872447,13.362838776383017,17.012126922607422,104015.77263362017,73920.074245546,30095.698388074175,712.0,25.428571428571427,12.714285714285714,247451337.4,38918487.99731141,11260591.031829592,-47.44951042995443,192.42,7,7,187.08,368.82,0.0,0.0,0.0,0.0,Healthy,0.0,Monitor
SKU-14303,263.14167126081884,9.39791683074353,11.979729652404783,164343.8349056604,121596.42252807728,42747.41237758311,394.0,14.071428571428571,9.196428571428571,373240214.3,43245711.37848757,11248625.535112632,-33.212773791670344,101.5,7,7,131.57,293.21,22.9,0.0,4941819.0,1285415.0,Stockout risk,22.9,Prioritize replenishment and confirm supplier availability
SKU-09760,2047.869614571333,73.13820052040475,93.53014373779295,27112.16379135833,21671.811763827347,5440.352027530982,2338.0,83.5,80.5,1195313057.0,55522176.41360383,11141131.609752242,-12.409340694126051,869.4,7,7,1023.93,2202.4,15.1,0.0,4189643.0,840698.0,Stockout risk,15.1,Prioritize replenishment and confirm supplier availability
